EventTime;AspectName;Category;Message;FromValue;ToValue;Path;ObjectName;ObjectDescription;SourceName;UserAccount;Condition;SubCondition;NodeName;Component
 05-28-2021 03:28:07;;Process Simple Event;LL Rising;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:28:07;;Process Simple Event;L Rising;;;;FIT0531;Reflux ag mennyiseg;FIT0531;;;;;
 05-28-2021 03:28:14;;Process Simple Event;HHH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:14;;Process Simple Event;HH Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:14;;Process Simple Event;H Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:16;;Process Simple Event;HHH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:16;;Process Simple Event;HH Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:16;;Process Simple Event;H Falling;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:20;;Network Messages;The action Schdule_AG_NORI_20s104w_20177_1 has been started.;;;;Schdule_AG_NORI_20s104w;;{F905A6E0-DA9F-4AFC-A5B4-0A979BB8E96E};;;;IMS01-NO1;Scheduler
 05-28-2021 03:28:20;;Network Messages;The action Schedule_AG_NORI_5s8w_20180_1 has been started.;;;;Schedule_AG_NORI_5s8w;;{504F2D25-CA04-4694-BDBE-98EF388B5D5C};;;;IMS01-NO1;Scheduler
 05-28-2021 03:28:24;;Process Simple Event;LLL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:28:24;;Process Simple Event;LL Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:28:24;;Process Simple Event;L Rising;;;;FIT0532;Elveteli ag mennyiseg;FIT0532;;;;;
 05-28-2021 03:28:25;;Process Simple Event;LLL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:25;;Process Simple Event;LL Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:25;;Process Simple Event;L Rising;;;;T1_PA24;T1 zuhany;T1_PA24;;;;;
 05-28-2021 03:28:28;;Process Simple Event;LLL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
 05-28-2021 03:28:28;;Process Simple Event;LL Rising;;;;FIT9831;Metanol kimeres tomegarammero;FIT9831;;;;;
